,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date,Expected US Yield,Excess Yield,Z-Spread,Excess Yield Bucket
228,CHILE (REPUBLIC OF),Sovereign,Fixed Income,"26,002,599.98",0.17,"26,002,599.98","34,123,000.00",168863DL9,US168863DL94,BKKGS47,75.97,Chile,-,USD,15.06,5.22,1.0,"Jan 25, 2050",3.5,15.21,-,5.22,15.21,5.22,USD,"Jun 25, 2019","Jun 25, 2019",4.019208,1.2007919999999999,1.6845496398980704,1-2
232,CHILE (REPUBLIC OF),Sovereign,Fixed Income,"25,843,966.80",0.17,"25,843,966.80","28,020,000.00",168863DY1,US168863DY16,-,90.28,Chile,-,USD,11.53,5.19,1.0,"Mar 07, 2042",4.34,11.6,-,5.19,11.6,5.19,USD,"Mar 07, 2022","Mar 07, 2022",3.889304,1.3006960000000003,1.2942921164301084,1-2
237,QATAR (STATE OF) RegS,Sovereign,Fixed Income,"25,304,244.18",0.16,"25,304,244.18","26,276,000.00",-,XS1405781854,BZ6CSL1,95.31,Qatar,-,USD,13.17,4.98,1.0,"Jun 02, 2046",4.63,13.28,-,4.98,13.28,4.98,USD,"Jun 02, 2016","Jun 02, 2016",3.949656,1.0303440000000004,0.9218182522509463,1-2
246,OMAN SULTANATE OF (GOVERNMENT) MTN RegS,Sovereign,Fixed Income,"24,831,977.90",0.16,"24,831,977.90","22,511,000.00",-,XS2288906857,-,109.84,Oman,-,USD,12.51,6.23,1.0,"Jan 25, 2051",7.0,12.54,-,6.23,12.54,6.23,USD,"Jan 25, 2021","Jan 25, 2021",3.925368,2.3046320000000002,1.6370815949646504,2-3
262,SAUDI ARABIA (KINGDOM OF) MTN RegS,Sovereign,Fixed Income,"24,382,755.00",0.16,"24,382,755.00","26,487,000.00",-,XS2577136109,-,91.63,Saudi Arabia,-,USD,14.39,5.59,1.0,"Jan 18, 2053",5.0,14.41,-,5.59,14.41,5.59,USD,"Jan 18, 2023","Jan 18, 2023",3.994552,1.5954479999999998,1.657124029174448,1-2
281,INDONESIA (REPUBLIC OF) RegS,Sovereign,Fixed Income,"23,437,615.83",0.15,"23,437,615.83","22,790,000.00",-,USY20721BB49,B7KBDP7,102.38,Indonesia,-,USD,11.34,5.04,1.0,"Jan 17, 2042",5.25,11.36,-,5.04,11.36,5.04,USD,"Jan 17, 2012","Jan 17, 2012",3.882312,1.1576879999999998,0.7697843416102474,1-2
295,PHILIPPINES (REPUBLIC OF),Sovereign,Fixed Income,"22,898,588.40",0.15,"22,898,588.40","21,791,000.00",718286CX3,US718286CX35,BQFL6R8,104.59,Philippines,-,USD,13.16,5.16,1.0,"Jan 17, 2048",5.5,13.26,-,5.16,13.26,5.16,USD,"Jan 17, 2023","Jan 17, 2023",3.949288,1.210712,0.8238819707558163,1-2
296,PARAGUAY (REPUBLIC OF) RegS,Sovereign,Fixed Income,"22,858,649.18",0.15,"22,858,649.18","22,658,000.00",-,USP75744AB11,BPY3HY2,100.75,Paraguay,-,USD,11.45,6.03,1.0,"Aug 11, 2044",6.1,11.48,-,6.03,11.48,6.03,USD,"Aug 11, 2014","Aug 11, 2014",3.8863600000000003,2.14364,1.7665233718171838,2-3
301,PERU (REPUBLIC OF),Sovereign,Fixed Income,"22,683,897.18",0.15,"22,683,897.18","21,925,000.00",715638EC2,US715638EC21,-,103.28,Peru,-,USD,14.18,5.65,1.0,"Aug 08, 2054",5.88,14.24,-,5.65,14.15,5.65,USD,"Aug 08, 2024","Aug 08, 2024",3.986824,1.6631760000000004,1.3341969891441388,1-2
302,KAZAKHSTAN (REPUBLIC OF) RegS,Sovereign,Fixed Income,"22,670,544.48",0.15,"22,670,544.48","22,634,000.00",-,XS1120709826,BRJ6665,98.47,Kazakhstan,-,USD,12.38,5,1.0,"Oct 14, 2044",4.88,12.46,-,5,12.46,5.0,USD,"Oct 14, 2014","Oct 14, 2014",3.9205840000000003,1.0794159999999997,0.850820919644401,1-2
